Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java, 113, 115, 114, 57, 113
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java, 72, 74, 73, 37, 1
1, hedwig-client/src/main/cpp/test/servercontrol.cpp, 0, 368, 184, 92, 184
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java, 32, 38, 35, 18, 3
1, hedwig-client/src/main/cpp/m4/ax_boost_base.m4, 252, 252, 252, 252, 252
1, src/assemble/bin.xml, 60, 62, 61, 31, 1
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java, 0, 498, 249, 125, 249
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java, 101, 201, 151, 50, 2
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java, 345, 351, 348, 116, 1
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java, 261, 321, 291, 97, 28
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java, 47, 47, 47, 47, 47
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java, 0, 396, 198, 99, 198
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java, 0, 610, 305, 153, 305
1, hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java, 206, 206, 206, 206, 206
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java, 0, 294, 147, 74, 147
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java, 0, 276, 138, 69, 138
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java, 0, 120, 60, 30, 60
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java, 88, 94, 91, 30, 2
1, hedwig-client/src/main/cpp/lib/data.cpp, 169, 169, 169, 85, 166
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java, 429, 583, 506, 169, 2
1, hedwig-client/src/main/cpp/lib/data.h, 105, 105, 105, 53, 99
1, doc/hedwigUser.textile, 62, 300, 181, 60, 119
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java, 0, 336, 168, 84, 168
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCacheTest.java, 0, 306, 153, 31, 132
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java, 0, 974, 487, 244, 487
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java, 94, 100, 97, 32, 2
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java, 336, 482, 409, 82, 28
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java, 154, 176, 165, 55, 9
